album_name,track_name,artist,featuring,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,key_name,mode_name,key_mode
Speak Now,Haunted,Taylor Swift,NA,0.436,0.95,5,-2.627,1,0.057,0.0826,1.08e-6,0.149,0.352,162.088,4,242080,FALSE,F,major,F major
Speak Now,Last Kiss,Taylor Swift,NA,0.371,0.341,10,-9.475,1,0.0319,0.57,3.09e-5,0.101,0.196,89.038,1,367133,FALSE,A#,major,A# major
Speak Now,Long Live,Taylor Swift,NA,0.418,0.68,7,-4.3,1,0.0347,0.036,7.59e-5,0.114,0.142,204.12,4,317453,FALSE,G,major,G major
Speak Now,Ours,Taylor Swift,NA,0.608,0.569,0,-7.227,1,0.0284,0.537,0,0.097,0.238,159.845,4,237920,FALSE,C,major,C major
Speak Now,If This Was A Movie,Taylor Swift,NA,0.511,0.719,4,-3.457,1,0.0265,0.166,4.54e-6,0.34,0.289,147.852,4,234547,FALSE,E,major,E major
Speak Now,Superman,Taylor Swift,NA,0.582,0.765,7,-3.648,1,0.0324,0.0268,1.95e-6,0.103,0.559,131.982,4,275960,FALSE,G,major,G major
Speak Now,Back To December (Acoustic Version),Taylor Swift,NA,0.541,0.453,2,-6.459,1,0.0266,0.748,0,0.2,0.377,141.757,4,292560,FALSE,D,major,D major
Speak Now,Haunted (Acoustic Version),Taylor Swift,NA,0.563,0.443,5,-5.078,1,0.0247,0.842,0,0.293,0.313,80.962,4,217613,FALSE,F,major,F major
Speak Now,Mine - Pop Mix,Taylor Swift,NA,0.695,0.723,7,-3.806,1,0.0285,0.00727,1.2e-6,0.1,0.679,121.011,4,230333,FALSE,G,major,G major
Red,State Of Grace,Taylor Swift,NA,0.588,0.825,4,-5.882,1,0.0328,1.97e-4,0.00138,0.0885,0.397,129.968,4,295187,FALSE,E,major,E major
Red,Red,Taylor Swift,NA,0.602,0.896,1,-4.267,0,0.0437,0.0773,8.87e-5,0.091,0.641,124.978,4,220827,FALSE,C#,minor,C# minor
Red,Treacherous,Taylor Swift,NA,0.705,0.621,2,-8.086,1,0.0334,0.101,4.3e-6,0.147,0.395,109.993,4,240773,FALSE,D,major,D major
Red,I Knew You Were Trouble,Taylor Swift,NA,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-6,0.0398,0.679,77.019,4,217973,FALSE,D#,minor,D# minor
Red,All Too Well,Taylor Swift,NA,0.602,0.609,0,-7.803,1,0.0243,0.0382,2e-4,0.127,0.337,93.06,4,327893,FALSE,C,major,C major
Red,22,Taylor Swift,NA,0.658,0.729,7,-6.561,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,4,230133,FALSE,G,major,G major
Red,I Almost Do,Taylor Swift,NA,0.567,0.481,4,-7.357,1,0.027,0.0173,4.13e-5,0.182,0.233,145.865,4,242573,FALSE,E,major,E major
Red,We Are Never Ever Getting Back Together,Taylor Swift,NA,0.628,0.676,7,-5.911,1,0.0916,0.00957,2.65e-5,0.102,0.75,85.984,4,191880,FALSE,G,major,G major
Red,Stay Stay Stay,Taylor Swift,NA,0.729,0.748,0,-6.67,1,0.0245,0.307,1.29e-6,0.09,0.928,99.981,4,204827,FALSE,C,major,C major
